Vehicle,Insurance,Weight_ins,Fuel Economy ,Weight_fuel,Resale ,Weight_resale,Sum_productme,Safety Features,Weight_safety,Maintenance Cost,Weight_maintenance,Price point,Weight_price,Sum_productco,sum_product_total,invweight_insurance,invweight_mx,invweight_price,Personal,Total,Company
2017 Ford Escape,"$2,136 ",8,25,10,"$12,076 ",7,"$4,075 ",9.50,10,4500,5,"$19,349 ",7,"$28,751 ",5529.882979,24.4140396,24.79480475,29.5462197,165101407.7,2.13918E+14,110721.404
2017 Honda CRV,"$2,364 ",8,29,10,"$20,633 ",7,"$6,545 ",9.80,10,4188,5,"$24,523 ",7,"$28,841 ",7581.457447,22.05938604,26.64198218,23.31226555,295666292.3,3.35034E+14,96832.792
2017 Hyundai Santa Fe,"$1,896 ",8,21,10,"$16,685 ",7,"$5,287 ",9.80,10,4750,5,"$24,912 ",7,"$31,774 ",7029.819149,27.50442436,23.48981502,22.94823804,215871885.2,2.12306E+14,84042.77466
2017 Toyota Rav 4,"$2,004 ",8,26,10,"$19,611 ",7,"$6,143 ",9.30,10,4450,5,"$23,630 ",7,"$29,861 ",7262.095745,26.02215,25.07339806,24.19327671,297210591.4,3.12151E+14,89750.36019
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
